time,pm2_5 (μg/m³),pm10 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),european_aqi (EAQI),european_aqi_pm2_5 (EAQI),us_aqi (USAQI),us_aqi_pm2_5 (USAQI)
2022-08-04T00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-08-04T01:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-08-04T02:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-08-04T03:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-08-04T04:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-08-04T05:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-08-04T06:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-08-04T07:00,40.3,58.0,595.0,29.7,16.8,24.0,NaN,NaN,NaN,NaN
2022-08-04T08:00,30.0,43.5,552.0,25.0,18.2,49.0,NaN,NaN,NaN,NaN
2022-08-04T09:00,32.7,47.3,492.0,18.4,20.2,84.0,NaN,NaN,NaN,NaN
2022-08-04T10:00,34.9,50.3,429.0,11.2,22.0,128.0,NaN,NaN,NaN,NaN
2022-08-04T11:00,38.3,55.2,414.0,8.6,21.5,154.0,NaN,NaN,NaN,NaN
2022-08-04T12:00,41.1,59.1,414.0,7.2,20.1,178.0,NaN,NaN,NaN,NaN
2022-08-04T13:00,43.5,62.6,427.0,8.4,19.0,194.0,NaN,NaN,NaN,NaN
2022-08-04T14:00,46.6,67.1,438.0,11.5,19.6,188.0,NaN,NaN,NaN,NaN
2022-08-04T15:00,45.1,64.7,455.0,16.5,20.9,171.0,NaN,NaN,NaN,NaN
2022-08-04T16:00,44.0,63.3,509.0,26.9,22.5,144.0,NaN,NaN,NaN,NaN
2022-08-04T17:00,47.5,68.2,592.0,40.3,22.8,124.0,NaN,NaN,NaN,NaN
2022-08-04T18:00,51.0,73.3,701.0,57.0,22.9,102.0,NaN,NaN,NaN,NaN
2022-08-04T19:00,62.6,89.9,891.0,78.9,22.8,83.0,NaN,NaN,NaN,NaN
2022-08-04T20:00,61.7,88.7,864.0,72.9,20.7,76.0,NaN,NaN,NaN,NaN
2022-08-04T21:00,61.7,88.5,824.0,64.2,17.8,67.0,NaN,NaN,NaN,NaN
2022-08-04T22:00,58.7,84.3,741.0,51.7,14.2,56.0,NaN,NaN,NaN,NaN
2022-08-04T23:00,53.2,76.4,638.0,42.2,12.6,52.0,NaN,NaN,NaN,NaN
2022-08-05T00:00,45.6,65.7,511.0,32.2,11.4,51.0,NaN,NaN,NaN,NaN
2022-08-05T01:00,35.0,50.6,376.0,21.3,10.1,51.0,NaN,NaN,NaN,NaN
2022-08-05T02:00,24.6,35.5,328.0,16.2,9.2,53.0,NaN,NaN,NaN,NaN
2022-08-05T03:00,20.0,28.9,307.0,13.0,8.4,57.0,NaN,NaN,NaN,NaN
2022-08-05T04:00,19.7,28.3,304.0,11.4,7.8,59.0,NaN,NaN,NaN,NaN
2022-08-05T05:00,19.0,27.2,320.0,13.2,7.7,55.0,NaN,NaN,NaN,NaN
2022-08-05T06:00,18.3,26.2,354.0,17.0,7.8,48.0,NaN,NaN,NaN,NaN
2022-08-05T07:00,20.3,29.0,345.0,17.3,8.1,44.0,73,73,113,113
2022-08-05T08:00,17.2,24.7,372.0,18.0,9.7,54.0,72,72,111,111
2022-08-05T09:00,17.8,25.5,410.0,18.9,11.9,68.0,71,71,109,109
2022-08-05T10:00,20.4,29.1,456.0,20.0,14.7,87.0,71,71,108,108
2022-08-05T11:00,22.2,31.8,476.0,20.4,15.9,98.0,70,70,106,106
2022-08-05T12:00,26.0,37.3,491.0,20.6,16.6,109.0,70,70,105,105
2022-08-05T13:00,29.0,41.6,513.0,21.8,18.4,120.0,69,69,103,103
2022-08-05T14:00,31.4,44.8,529.0,22.3,21.4,128.0,69,69,102,102
2022-08-05T15:00,34.1,48.8,545.0,23.0,25.0,135.0,68,68,100,100
2022-08-05T16:00,36.2,51.8,597.0,29.9,28.0,131.0,68,68,99,99
2022-08-05T17:00,38.1,54.4,695.0,45.5,27.2,108.0,68,68,98,98
2022-08-05T18:00,44.0,62.9,822.0,66.4,24.9,74.0,67,67,98,98
2022-08-05T19:00,50.9,72.9,1055.0,97.8,27.1,40.0,67,67,97,97
2022-08-05T20:00,54.1,77.5,1027.0,92.9,28.6,35.0,67,67,96,96
2022-08-05T21:00,55.8,79.9,986.0,85.9,30.6,28.0,67,67,95,95
2022-08-05T22:00,56.8,81.3,930.0,77.2,32.0,20.0,66,66,95,95
2022-08-05T23:00,58.2,83.4,897.0,73.1,31.0,17.0,66,66,94,94
2022-08-06T00:00,57.9,82.9,866.0,69.8,28.9,16.0,66,66,95,95
2022-08-06T01:00,56.1,80.3,802.0,62.7,25.4,17.0,67,67,96,96
2022-08-06T02:00,51.7,73.8,719.0,52.3,22.2,23.0,68,68,98,98
2022-08-06T03:00,44.6,63.8,619.0,39.5,18.5,31.0,69,69,100,100
2022-08-06T04:00,38.8,55.5,504.0,26.0,14.2,40.0,69,69,103,103
2022-08-06T05:00,33.2,47.4,451.0,22.3,11.7,42.0,70,70,105,105
2022-08-06T06:00,27.1,38.8,414.0,21.7,9.6,41.0,70,70,106,106
2022-08-06T07:00,12.1,17.3,307.0,16.7,5.9,47.0,71,71,107,107
2022-08-06T08:00,10.7,15.3,323.0,18.5,6.3,45.0,70,70,106,106
2022-08-06T09:00,11.1,15.8,345.0,20.9,6.9,43.0,70,70,106,106
2022-08-06T10:00,13.1,18.7,361.0,22.5,7.9,44.0,70,70,105,105
2022-08-06T11:00,16.1,23.1,350.0,20.8,8.9,50.0,70,70,104,104
2022-08-06T12:00,15.9,22.7,328.0,17.6,10.0,60.0,70,70,104,104
2022-08-06T13:00,17.0,24.3,304.0,14.9,11.4,69.0,69,69,103,103
2022-08-06T14:00,18.0,25.7,293.0,14.6,12.4,71.0,69,69,101,101
2022-08-06T15:00,18.7,26.9,286.0,15.4,13.2,71.0,68,68,100,100
2022-08-06T16:00,19.2,27.5,309.0,20.9,14.6,64.0,68,68,99,99
2022-08-06T17:00,24.2,34.8,376.0,31.8,15.9,50.0,67,67,97,97
2022-08-06T18:00,26.6,38.3,471.0,46.5,17.4,32.0,67,67,96,96
2022-08-06T19:00,37.3,53.3,725.0,79.5,22.1,10.0,66,66,94,94
2022-08-06T20:00,38.3,54.8,687.0,72.8,21.1,12.0,66,66,93,93
2022-08-06T21:00,34.5,49.5,632.0,63.0,19.6,15.0,65,65,92,92
2022-08-06T22:00,32.8,47.0,562.0,51.3,17.5,19.0,65,65,90,90
2022-08-06T23:00,30.6,44.0,526.0,45.8,16.1,21.0,64,64,88,88
2022-08-07T00:00,27.6,39.8,495.0,41.5,14.6,23.0,63,63,85,85
2022-08-07T01:00,26.3,38.0,447.0,35.1,12.8,26.0,62,62,83,83
2022-08-07T02:00,25.6,36.9,395.0,28.1,11.2,31.0,61,61,80,80
2022-08-07T03:00,20.6,29.8,337.0,20.4,9.8,37.0,60,60,78,78
2022-08-07T04:00,15.2,22.0,278.0,13.1,8.2,42.0,56,56,75,75
2022-08-07T05:00,12.7,18.4,259.0,11.9,7.6,42.0,52,52,73,73
2022-08-07T06:00,10.7,15.5,255.0,13.0,7.2,41.0,49,49,72,72
2022-08-07T07:00,12.4,18.0,264.0,15.4,6.7,40.0,46,46,70,70
2022-08-07T08:00,11.1,16.2,284.0,17.1,7.3,39.0,46,46,70,70
2022-08-07T09:00,12.7,18.4,313.0,19.6,8.1,38.0,46,46,70,70
2022-08-07T10:00,14.4,20.9,337.0,21.1,9.4,42.0,46,46,70,70
2022-08-07T11:00,18.2,26.3,330.0,19.0,10.3,54.0,46,46,70,70
2022-08-07T12:00,20.9,30.3,310.0,15.4,11.3,72.0,47,47,71,71
2022-08-07T13:00,20.4,29.6,288.0,11.8,12.6,92.0,48,48,71,71
2022-08-07T14:00,19.8,28.8,275.0,10.1,13.2,103.0,48,48,71,71
2022-08-07T15:00,22.4,32.4,264.0,8.9,13.8,111.0,48,48,72,72
2022-08-07T16:00,25.5,36.9,288.0,13.4,14.6,112.0,49,49,72,72
